Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,1923.00,1986.85,1911.00,1978.20,1961.300440418340521901,87871,6930,172341431.00,31220,35.53,75.85,55.20
31-August-2020,1982.90,1982.90,1883.50,1903.40,1928.870592685500408130,50229,4171,96885241.00,16239,32.33,99.40,-79.50
28-August-2020,1996.00,1997.95,1954.35,1957.70,1963.448344689930483859,43587,3019,85580823.00,14105,32.36,43.60,-38.30
27-August-2020,1976.50,2008.40,1970.35,1982.00,1989.411653185035389282,55384,3867,110181575.00,7855,14.18,38.05,5.50
26-August-2020,2002.00,2009.40,1956.00,1971.05,1970.646152628961526289,88476,6259,174354889.00,30504,34.48,53.40,-30.95
25-August-2020,1956.00,2015.95,1956.00,2001.00,1989.746241816859290390,98984,7872,196953042.00,31915,32.24,59.95,45.00
24-August-2020,1956.50,1994.75,1940.00,1963.25,1968.008170157139355646,110157,7487,216789876.00,22488,20.41,54.75,6.75
21-August-2020,1880.50,1971.00,1880.50,1958.35,1932.322318766420987374,203246,11873,392736782.00,48253,23.74,90.50,77.85
20-August-2020,1870.00,1880.00,1817.80,1875.25,1866.860246913580246913,26325,2056,49145096.00,4602,17.48,62.20,5.25
19-August-2020,1884.00,1902.10,1873.65,1885.70,1890.098407345804187837,43889,2979,82954529.00,7365,16.78,28.45,1.70
18-August-2020,1836.00,1883.00,1832.15,1873.60,1860.861469193716750720,79513,4883,147962678.00,17341,21.81,50.85,37.60
17-August-2020,1825.00,1841.70,1801.85,1835.85,1824.825983409691807778,49547,3274,90414653.00,12408,25.04,39.85,10.85
14-August-2020,1806.00,1829.65,1795.65,1801.60,1818.182456224284757439,209020,3570,380036497.00,171532,82.06,34.00,-4.40
13-August-2020,1804.00,1814.90,1793.70,1802.15,1803.607851239669421487,33880,2143,61106234.00,10966,32.37,21.20,-1.85
12-August-2020,1785.00,1805.35,1771.40,1796.75,1792.023677558498179541,43121,3064,77273853.00,6768,15.70,33.95,11.75
11-August-2020,1795.00,1836.75,1781.00,1789.55,1811.740020004777260241,133968,8998,242715187.00,29862,22.29,55.75,-5.45
10-August-2020,1815.80,1823.95,1778.20,1782.45,1789.253102858341806678,61959,4049,110860333.00,9589,15.48,45.75,-33.35
7-August-2020,1729.90,1816.50,1727.55,1805.05,1783.596219782621563904,219617,14272,391708051.00,71001,32.33,88.95,75.15
6-August-2020,1725.10,1752.00,1721.00,1728.25,1735.144086364179580129,50206,4279,87114644.00,16098,32.06,31.00,3.15
5-August-2020,1723.00,1741.00,1713.15,1717.15,1727.741913429902149297,46806,4012,80868688.00,13845,29.58,27.85,-5.85
4-August-2020,1725.00,1734.85,1708.90,1714.30,1727.076721947258255336,285694,3036,493415457.00,247852,86.75,25.95,-10.70
3-August-2020,1720.10,1733.55,1697.50,1704.95,1711.779946064170895886,47093,4712,80612853.00,16062,34.11,36.05,-15.15
